* This is the BiomeMobWeight report file that is output every time the server starts.
* 
* Spawn Balance Utility (SBU) will use this file ONLY if it is renamed to BiomeMobWeight.csv.
* Lines starting with '*' are comments and ignored
* When this file is read, SBU writes summary information to the log file.
* 
1, ocean, alexscaves:abyssal_chasm, MONSTER, alexscaves:deep_one_mage, 10, 1, 1
147, none, biomeswevegone:allium_shrubland, CREATURE, naturalist:sparrow, 10, 1, 4
148, none, biomeswevegone:allium_shrubland, CREATURE, naturalist:butterfly, 20, 1, 3
149, none, biomeswevegone:allium_shrubland, CREATURE, alexsmobs:raccoon, 10, 2, 4
150, none, biomeswevegone:allium_shrubland, CREATURE, alexsmobs:crow, 10, 3, 5
151, none, biomeswevegone:allium_shrubland, CREATURE, alexsmobs:bison, 10, 6, 10
152, none, biomeswevegone:allium_shrubland, CREATURE, ars_nouveau:drygmy, 10, 1, 2
153, none, biomeswevegone:allium_shrubland, CREATURE, ars_nouveau:gift_starby, 10, 1, 1
154, none, biomeswevegone:allium_shrubland, CREATURE, ars_nouveau:starbuncle, 10, 1, 2
155, none, biomeswevegone:allium_shrubland, CREATURE, scguns:supply_scamp, 10, 1, 1
156, none, biomeswevegone:allium_shrubland, CREATURE, born_in_chaos_v1:thornshell_crab, 10, 1, 1
157, none, biomeswevegone:allium_shrubland, CREATURE, ars_nouveau:whirlisprig, 10, 1, 2
158, none, biomeswevegone:allium_shrubland, AMBIENT, minecraft:bat, 10, 8, 8
159, none, biomeswevegone:allium_shrubland, AMBIENT, biomeswevegone:oddion, 10, 2, 10
160, none, biomeswevegone:allium_shrubland, AMBIENT, naturalist:firefly, 10, 2, 3
161, none, biomeswevegone:allium_shrubland, AMBIENT, alexsmobs:fly, 10, 2, 3
162, none, biomeswevegone:allium_shrubland, AMBIENT, alexsmobs:cockroach, 10, 5, 5
163, none, biomeswevegone:allium_shrubland, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
164, none, biomeswevegone:allium_shrubland, UNDERGROUND_WATER_CREATURE, seadwellers:mermorph_cavern, 10, 1, 1
165, none, biomeswevegone:allium_shrubland, WATER_CREATURE, born_in_chaos_v1:corpse_fish, 10, 1, 5
166, none, biomeswevegone:allium_shrubland, WATER_CREATURE, born_in_chaos_v1:glutton_fish, 5, 1, 1
167, none, biomeswevegone:allium_shrubland, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
168, none, biomeswevegone:amaranth_grassland, MONSTER, minecraft:spider, 80, 4, 4
169, none, biomeswevegone:amaranth_grassland, MONSTER, minecraft:zombie, 80, 4, 4
170, none, biomeswevegone:amaranth_grassland, MONSTER, minecraft:zombie_villager, 10, 1, 1
171, none, biomeswevegone:amaranth_grassland, MONSTER, minecraft:skeleton, 80, 4, 4
172, none, biomeswevegone:amaranth_grassland, MONSTER, minecraft:creeper, 80, 4, 4
173, none, biomeswevegone:amaranth_grassland, MONSTER, minecraft:slime, 80, 4, 4
174, none, biomeswevegone:amaranth_grassland, MONSTER, minecraft:enderman, 5, 1, 4
175, none, biomeswevegone:amaranth_grassland, MONSTER, minecraft:witch, 5, 1, 1
176, none, biomeswevegone:amaranth_grassland, MONSTER, alexsmobs:centipede_head, 10, 1, 1
177, none, biomeswevegone:amaranth_grassland, MONSTER, alexsmobs:farseer, 30, 1, 1
178, none, biomeswevegone:amaranth_grassland, MONSTER, alexsmobs:murmur, 10, 1, 1
179, none, biomeswevegone:amaranth_grassland, MONSTER, born_in_chaos_v1:baby_skeleton, 5, 1, 1
180, none, biomeswevegone:amaranth_grassland, MONSTER, born_in_chaos_v1:barrel_zombie, 16, 1, 1
181, none, biomeswevegone:amaranth_grassland, MONSTER, quark:stoneling, 30, 1, 1
182, none, biomeswevegone:amaranth_grassland, MONSTER, quark:toretoise, 20, 2, 4
183, none, biomeswevegone:amaranth_grassland, MONSTER, born_in_chaos_v1:bloody_gadfly, 16, 1, 1
184, none, biomeswevegone:amaranth_grassland, MONSTER, born_in_chaos_v1:bonescaller, 5, 1, 1
185, none, biomeswevegone:amaranth_grassland, MONSTER, realmrpg_demons:chort, 10, 1, 2
186, none, biomeswevegone:amaranth_grassland, MONSTER, scguns:cog_knight, 25, 1, 1
187, none, biomeswevegone:amaranth_grassland, MONSTER, scguns:cog_minion, 0, 0, 0
188, none, biomeswevegone:amaranth_grassland, MONSTER, born_in_chaos_v1:corpse_fly, 15, 1, 3
189, none, biomeswevegone:amaranth_grassland, MONSTER, born_in_chaos_v1:dark_vortex, 10, 1, 1
190, none, biomeswevegone:amaranth_grassland, MONSTER, born_in_chaos_v1:decaying_zombie, 35, 1, 1
191, none, biomeswevegone:amaranth_grassland, MONSTER, born_in_chaos_v1:decrepit_skeleton, 45, 1, 1
192, none, biomeswevegone:amaranth_grassland, MONSTER, realmrpg_demons:demon, 10, 1, 3
193, none, biomeswevegone:amaranth_grassland, MONSTER, realmrpg_demons:demon_lord, 10, 1, 1
194, none, biomeswevegone:amaranth_grassland, MONSTER, born_in_chaos_v1:dire_hound_leader, 10, 1, 1
195, none, biomeswevegone:amaranth_grassland, MONSTER, scguns:dissident, 20, 1, 1
196, none, biomeswevegone:amaranth_grassland, MONSTER, born_in_chaos_v1:door_knight, 13, 1, 1
197, none, biomeswevegone:amaranth_grassland, MONSTER, born_in_chaos_v1:dread_hound, 15, 3, 5
198, none, biomeswevegone:amaranth_grassland, MONSTER, realmrpg_wyrms:ender_wyrm, 10, 1, 1
199, none, biomeswevegone:amaranth_grassland, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 10, 1, 1
200, none, biomeswevegone:amaranth_grassland, MONSTER, scguns:hive, 15, 1, 1
201, none, biomeswevegone:amaranth_grassland, MONSTER, realmrpg_demons:imp, 10, 1, 3
202, none, biomeswevegone:amaranth_grassland, MONSTER, realmrpg_demons:imp_guard, 10, 1, 3
203, none, biomeswevegone:amaranth_grassland, MONSTER, born_in_chaos_v1:lifestealer, 5, 1, 1
204, none, biomeswevegone:amaranth_grassland, MONSTER, born_in_chaos_v1:missioner, 5, 1, 1
205, none, biomeswevegone:amaranth_grassland, MONSTER, born_in_chaos_v1:mr_pumpkin, 13, 1, 3
206, none, biomeswevegone:amaranth_grassland, MONSTER, born_in_chaos_v1:nightmare_stalker, 5, 1, 1
207, none, biomeswevegone:amaranth_grassland, MONSTER, born_in_chaos_v1:phantom_creeper, 5, 1, 1
208, none, biomeswevegone:amaranth_grassland, MONSTER, realmrpg_wyrms:red_wyrm, 10, 1, 1
209, none, biomeswevegone:amaranth_grassland, MONSTER, scguns:redcoat, 20, 1, 1
210, none, biomeswevegone:amaranth_grassland, MONSTER, born_in_chaos_v1:restless_spirit, 20, 1, 1
211, none, biomeswevegone:amaranth_grassland, MONSTER, born_in_chaos_v1:seared_spirit, 10, 1, 1
212, none, biomeswevegone:amaranth_grassland, MONSTER, born_in_chaos_v1:siamese_skeletons, 16, 1, 1
213, none, biomeswevegone:amaranth_grassland, MONSTER, born_in_chaos_v1:sir_pumpkinhead, 5, 1, 1
214, none, biomeswevegone:amaranth_grassland, MONSTER, born_in_chaos_v1:skeleton_demoman, 12, 1, 1
215, none, biomeswevegone:amaranth_grassland, MONSTER, born_in_chaos_v1:skeleton_thrasher, 10, 1, 1
216, none, biomeswevegone:amaranth_grassland, MONSTER, scguns:sky_carrier, 30, 1, 1
217, none, biomeswevegone:amaranth_grassland, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 10, 2, 2
218, none, biomeswevegone:amaranth_grassland, MONSTER, born_in_chaos_v1:spirit_guide, 16, 1, 1
219, none, biomeswevegone:amaranth_grassland, MONSTER, born_in_chaos_v1:spiritof_chaos, 5, 1, 1
220, none, biomeswevegone:amaranth_grassland, MONSTER, born_in_chaos_v1:supreme_bonescaller, 5, 1, 1
221, none, biomeswevegone:amaranth_grassland, MONSTER, born_in_chaos_v1:swarmer, 11, 1, 1
222, none, biomeswevegone:amaranth_grassland, MONSTER, enlightened_end:void_leviathan, 10, 1, 1
223, none, biomeswevegone:amaranth_grassland, MONSTER, born_in_chaos_v1:zombie_bruiser, 16, 1, 1
224, none, biomeswevegone:amaranth_grassland, MONSTER, born_in_chaos_v1:zombie_clown, 10, 1, 1
225, none, biomeswevegone:amaranth_grassland, MONSTER, born_in_chaos_v1:zombie_fisherman, 30, 1, 1
226, none, biomeswevegone:amaranth_grassland, MONSTER, born_in_chaos_v1:zombie_lumberjack, 20, 1, 1
227, none, biomeswevegone:amaranth_grassland, CREATURE, minecraft:sheep, 12, 4, 4
228, none, biomeswevegone:amaranth_grassland, CREATURE, minecraft:pig, 10, 4, 4
229, none, biomeswevegone:amaranth_grassland, CREATURE, minecraft:chicken, 10, 4, 4
230, none, biomeswevegone:amaranth_grassland, CREATURE, minecraft:cow, 10, 4, 4
231, none, biomeswevegone:amaranth_grassland, CREATURE, minecraft:horse, 10, 2, 6
232, none, biomeswevegone:amaranth_grassland, CREATURE, minecraft:donkey, 10, 1, 3
233, none, biomeswevegone:amaranth_grassland, CREATURE, naturalist:snail, 10, 2, 3
234, none, biomeswevegone:amaranth_grassland, CREATURE, naturalist:snake, 10, 1, 1
235, none, biomeswevegone:amaranth_grassland, CREATURE, naturalist:robin, 10, 1, 4
236, none, biomeswevegone:amaranth_grassland, CREATURE, naturalist:sparrow, 10, 1, 4
237, none, biomeswevegone:amaranth_grassland, CREATURE, naturalist:butterfly, 20, 1, 3
238, none, biomeswevegone:amaranth_grassland, CREATURE, alexsmobs:raccoon, 10, 2, 4
239, none, biomeswevegone:amaranth_grassland, CREATURE, alexsmobs:crow, 10, 3, 5
240, none, biomeswevegone:amaranth_grassland, CREATURE, alexsmobs:bison, 10, 6, 10
241, none, biomeswevegone:amaranth_grassland, CREATURE, ars_nouveau:drygmy, 10, 1, 2
242, none, biomeswevegone:amaranth_grassland, CREATURE, ars_nouveau:gift_starby, 10, 1, 1
243, none, biomeswevegone:amaranth_grassland, CREATURE, ars_nouveau:starbuncle, 10, 1, 2
244, none, biomeswevegone:amaranth_grassland, CREATURE, scguns:supply_scamp, 10, 1, 1
245, none, biomeswevegone:amaranth_grassland, CREATURE, born_in_chaos_v1:thornshell_crab, 10, 1, 1
246, none, biomeswevegone:amaranth_grassland, CREATURE, ars_nouveau:whirlisprig, 10, 1, 2
247, none, biomeswevegone:amaranth_grassland, AMBIENT, minecraft:bat, 10, 8, 8
248, none, biomeswevegone:amaranth_grassland, AMBIENT, naturalist:firefly, 10, 2, 3
249, none, biomeswevegone:amaranth_grassland, AMBIENT, alexsmobs:fly, 10, 2, 3
250, none, biomeswevegone:amaranth_grassland, AMBIENT, alexsmobs:cockroach, 10, 5, 5
251, none, biomeswevegone:amaranth_grassland, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
252, none, biomeswevegone:amaranth_grassland, UNDERGROUND_WATER_CREATURE, seadwellers:mermorph_cavern, 10, 1, 1
253, none, biomeswevegone:amaranth_grassland, WATER_CREATURE, born_in_chaos_v1:corpse_fish, 10, 1, 5
254, none, biomeswevegone:amaranth_grassland, WATER_CREATURE, born_in_chaos_v1:glutton_fish, 5, 1, 1
255, none, biomeswevegone:amaranth_grassland, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
256, the_end, far_end:amethyst_forest, MONSTER, minecraft:enderman, 5, 4, 4
257, the_end, far_end:amethyst_forest, MONSTER, alexsmobs:farseer, 30, 1, 1
258, the_end, far_end:amethyst_forest, MONSTER, born_in_chaos_v1:baby_skeleton, 5, 1, 1
259, the_end, far_end:amethyst_forest, MONSTER, born_in_chaos_v1:barrel_zombie, 16, 1, 1
260, the_end, far_end:amethyst_forest, MONSTER, born_in_chaos_v1:bloody_gadfly, 16, 1, 1
261, the_end, far_end:amethyst_forest, MONSTER, born_in_chaos_v1:bonescaller, 5, 1, 1
262, the_end, far_end:amethyst_forest, MONSTER, realmrpg_demons:chort, 10, 1, 2
263, the_end, far_end:amethyst_forest, MONSTER, born_in_chaos_v1:corpse_fly, 15, 1, 3
264, the_end, far_end:amethyst_forest, MONSTER, born_in_chaos_v1:dark_vortex, 10, 1, 1
265, the_end, far_end:amethyst_forest, MONSTER, born_in_chaos_v1:decaying_zombie, 35, 1, 1
266, the_end, far_end:amethyst_forest, MONSTER, born_in_chaos_v1:decrepit_skeleton, 45, 1, 1
267, the_end, far_end:amethyst_forest, MONSTER, realmrpg_demons:demon, 10, 1, 3
268, the_end, far_end:amethyst_forest, MONSTER, realmrpg_demons:demon_lord, 10, 1, 1
269, the_end, far_end:amethyst_forest, MONSTER, born_in_chaos_v1:dire_hound_leader, 10, 1, 1
270, the_end, far_end:amethyst_forest, MONSTER, born_in_chaos_v1:door_knight, 13, 1, 1
